Name,Card Number,Name,Rarity,Is Unique,Normal Price,Foil Price
Spark of Rebellion,372,Vanguard Infantry,Common,false,0.25 €,0.71 €
Spark of Rebellion,373,Colonel Yularen,Uncommon,true,2.06 €,7.93 €
Spark of Rebellion,374,Frontline Shuttle,Rare,false,3.35 €,16.29 €
Spark of Rebellion,375,Patrolling V-Wing,Common,false,0.31 €,0.95 €
Spark of Rebellion,376,Consortium StarViper,Common,false,1.20 €,2.26 €
Spark of Rebellion,377,Homestead Militia,Common,false,0.26 €,0.65 €
Spark of Rebellion,378,Escort Skiff,Common,false,0.36 €,0.76 €
Spark of Rebellion,379,Agent Kallus,Rare,true,3.30 €,9.64 €
Spark of Rebellion,380,Steadfast Battalion,Common,false,0.74 €,2.62 €
Spark of Rebellion,381,Mercenary Company,Common,false,0.20 €,0.51 €
Spark of Rebellion,382,97th Legion,Uncommon,true,0.66 €,2.25 €
Spark of Rebellion,383,Reinforcement Walker,Uncommon,false,6.31 €,9.10 €
Spark of Rebellion,384,Academy Training,Common,false,0.20 €,1.01 €
Spark of Rebellion,385,Hardpoint Heavy Blaster,Uncommon,false,0.75 €,2.01 €
Spark of Rebellion,386,Traitorous,Rare,false,0.25 €,0.52 €
Spark of Rebellion,387,Recruit,Common,false,0.36 €,1.18 €
Spark of Rebellion,388,Tactical Advantage,Common,false,0.25 €,0.52 €
Spark of Rebellion,389,Prepare For Takeoff,Uncommon,false,0.85 €,1.95 €
Spark of Rebellion,390,Resupply,Common,false,1.21 €,3.18 €
Spark of Rebellion,391,Strike True,Common,false,0.62 €,1.41 €
Spark of Rebellion,392,Death Star Stormtrooper,Common,false,0.51 €,1.56 €
Spark of Rebellion,393,Admiral Ozzel,Uncommon,true,0.87 €,2.55 €
Spark of Rebellion,394,First Legion Snowtrooper,Common,false,0.43 €,1.74 €
Spark of Rebellion,395,Fifth Brother,Uncommon,true,3.43 €,8.87 €
Spark of Rebellion,396,Imperial Interceptor,Common,false,1.00 €,4.02 €
Spark of Rebellion,397,Seventh Sister,Rare,true,10.91 €,23.43 €
Spark of Rebellion,398,Ruthless Raider,Uncommon,false,3.21 €,8.09 €
Spark of Rebellion,399,Emperor Palpatine,Rare,true,15.02 €,60.79 €
Spark of Rebellion,400,Fallen Lightsaber,Rare,false,8.82 €,29.92 €
Spark of Rebellion,401,Force Lightning,Legendary,false,19.88 €,45.69 €
Spark of Rebellion,402,Force Choke,Uncommon,false,3.58 €,12.29 €
Spark of Rebellion,403,SpecForce Soldier,Common,false,0.76 €,2.38 €
Spark of Rebellion,404,Green Squadron A-Wing,Common,false,0.91 €,2.05 €
Spark of Rebellion,405,Sabine Wren,Uncommon,true,3.74 €,8.50 €
Spark of Rebellion,406,Fighters For Freedom,Uncommon,false,2.15 €,7.34 €
Spark of Rebellion,407,Red Three,Rare,true,22.00 €,36.20 €
Spark of Rebellion,408,K-2SO,Rare,true,18.90 €,31.84 €
Spark of Rebellion,409,Zeb Orrelios,Uncommon,true,1.30 €,4.69 €
Spark of Rebellion,410,Black One,Legendary,true,15.34 €,34.80 €
Spark of Rebellion,411,Guerilla Attack Pod,Common,false,0.51 €,1.75 €
Spark of Rebellion,412,Mace Windu,Legendary,true,10.86 €,26.64 €
Spark of Rebellion,413,Heroic Sacrifice,Rare,false,7.39 €,12.44 €
Spark of Rebellion,414,Karabast,Uncommon,false,0.86 €,1.64 €
Spark of Rebellion,415,For a Cause I Believe In,Rare,false,11.01 €,28.42 €
Spark of Rebellion,416,Saw Gerrera,Rare,true,3.13 €,10.92 €
Spark of Rebellion,417,Rallying Cry,Uncommon,false,1.08 €,4.94 €
Spark of Rebellion,418,Aggression,Legendary,false,30.40 €,56.28 €
Spark of Rebellion,419,"Benthic ""Two Tubes""",Uncommon,true,2.11 €,4.04 €
Spark of Rebellion,420,Cantina Braggart,Common,false,0.29 €,0.59 €
Spark of Rebellion,421,Jedha Agitator,Common,false,0.29 €,0.55 €
Spark of Rebellion,422,Partisan Insurgent,Common,false,0.41 €,0.86 €
Spark of Rebellion,423,Wolffe,Rare,true,4.98 €,12.86 €
Spark of Rebellion,424,Ardent Sympathizer,Common,false,0.22 €,0.73 €
Spark of Rebellion,425,Disabling Fang Fighter,Common,false,0.88 €,1.98 €
Spark of Rebellion,426,Star Wing Scout,Uncommon,false,0.67 €,1.89 €
Spark of Rebellion,427,Wampa,Common,false,0.31 €,0.91 €
Spark of Rebellion,428,Occupier Siege Tank,Common,false,0.24 €,0.66 €
Spark of Rebellion,429,Infiltrator's Skill,Common,false,0.31 €,0.78 €
Spark of Rebellion,430,Force Throw,Uncommon,false,4.61 €,9.61 €
Spark of Rebellion,431,Precision Fire,Common,false,0.29 €,0.93 €
Spark of Rebellion,432,Keep Fighting,Common,false,0.38 €,1.28 €
Spark of Rebellion,433,Power Failure,Uncommon,false,0.51 €,2.62 €
Spark of Rebellion,434,Mission Briefing,Common,false,0.28 €,0.52 €
Spark of Rebellion,435,Open Fire,Common,false,1.24 €,3.71 €
Spark of Rebellion,436,Bombing Run,Rare,false,6.68 €,16.83 €
Spark of Rebellion,437,Smoke and Cinders,Rare,false,1.96 €,5.35 €
Spark of Rebellion,438,Forced Surrender,Uncommon,false,1.01 €,2.08 €
Spark of Rebellion,439,ISB Agent,Common,false,0.30 €,0.94 €
Spark of Rebellion,440,Bib Fortuna,Uncommon,true,1.11 €,3.32 €
Spark of Rebellion,441,Cartel Spacer,Uncommon,false,3.96 €,6.48 €
Spark of Rebellion,442,Boba Fett,Legendary,true,65.74 €,180.30 €
Spark of Rebellion,443,Seventh Fleet Defender,Common,false,1.34 €,3.45 €
Spark of Rebellion,444,Jabba the Hutt,Rare,true,8.33 €,25.94 €
Spark of Rebellion,445,Bossk,Uncommon,true,2.13 €,6.72 €
Spark of Rebellion,446,Bounty Hunter Crew,Common,false,0.39 €,1.71 €
Spark of Rebellion,447,Fett's Firespray,Rare,true,18.92 €,48.27 €
Spark of Rebellion,448,Chimaera,Rare,true,3.64 €,12.10 €
Spark of Rebellion,449,No Good to Me Dead,Uncommon,false,5.57 €,13.11 €
Spark of Rebellion,450,I Had No Choice,Rare,false,1.68 €,11.04 €
Spark of Rebellion,451,Chopper,Rare,true,7.24 €,18.79 €
Spark of Rebellion,452,Lothal Insurgent,Common,false,0.36 €,0.67 €
Spark of Rebellion,453,Vanguard Ace,Uncommon,false,1.08 €,3.21 €
Spark of Rebellion,454,Ezra Bridger,Uncommon,true,2.80 €,6.16 €
Spark of Rebellion,455,Millennium Falcon,Legendary,true,45.14 €,83.41 €
Spark of Rebellion,456,Rogue Operative,Common,false,0.42 €,0.94 €
Spark of Rebellion,457,Auzituck Liberator Gunship,Common,false,0.41 €,0.96 €
Spark of Rebellion,458,Chewbacca,Uncommon,true,1.67 €,4.95 €
Spark of Rebellion,459,Lando Calrissian,Rare,true,4.29 €,19.78 €
Spark of Rebellion,460,Han Solo,Rare,true,9.16 €,25.87 €
Spark of Rebellion,461,Bamboozle,Uncommon,false,0.85 €,3.38 €
Spark of Rebellion,462,Spark of Rebellion,Rare,false,19.83 €,36.70 €
Spark of Rebellion,463,Bodhi Rook,Rare,true,14.67 €,23.71 €
Spark of Rebellion,464,Cantina Bouncer,Uncommon,false,2.29 €,5.40 €
Spark of Rebellion,465,Cunning,Legendary,false,46.92 €,72.51 €
Spark of Rebellion,466,Greedo,Uncommon,true,2.77 €,4.85 €
Spark of Rebellion,467,Jawa Scavenger,Common,false,0.29 €,1.09 €
Spark of Rebellion,468,Mining Guild TIE Fighter,Common,false,0.31 €,1.23 €
Spark of Rebellion,469,Crafty Smuggler,Common,false,1.04 €,2.53 €
Spark of Rebellion,470,Outer Rim Headhunter,Common,false,0.37 €,0.90 €
Spark of Rebellion,471,Pirated Starfighter,Uncommon,false,1.12 €,2.37 €
Spark of Rebellion,472,Swoop Racer,Common,false,0.24 €,0.58 €
Spark of Rebellion,473,Gamorrean Guards,Common,false,0.58 €,1.11 €
Spark of Rebellion,474,Strafing Gunship,Rare,false,7.37 €,13.58 €
Spark of Rebellion,475,Syndicate Lackeys,Common,false,0.38 €,1.05 €
Spark of Rebellion,476,Smuggling Compartment,Uncommon,false,0.74 €,3.38 €
Spark of Rebellion,477,Snapshot Reflexes,Common,false,0.36 €,2.48 €
Spark of Rebellion,478,Disarm,Common,false,0.24 €,0.72 €
Spark of Rebellion,479,Shoot First,Uncommon,false,5.44 €,8.47 €
Spark of Rebellion,480,Asteroid Sanctuary,Common,false,0.49 €,1.03 €
Spark of Rebellion,481,Sneak Attack,Rare,false,9.90 €,15.83 €
Spark of Rebellion,482,Surprise Strike,Common,false,1.73 €,4.25 €
Spark of Rebellion,483,Outmaneuver,Uncommon,false,1.06 €,4.26 €
Spark of Rebellion,484,Waylay,Common,false,0.60 €,3.62 €
Spark of Rebellion,485,Don't Get Cocky,Rare,false,1.95 €,8.42 €
Spark of Rebellion,486,Change of Heart,Legendary,false,17.12 €,30.07 €
Spark of Rebellion,487,TIE/ln Fighter,Common,false,1.10 €,2.16 €
Spark of Rebellion,488,Snowtrooper Lieutenant,Common,false,1.00 €,2.85 €
Spark of Rebellion,489,Viper Probe Droid,Common,false,1.60 €,5.29 €
Spark of Rebellion,490,Cell Block Guard,Common,false,1.00 €,3.18 €
Spark of Rebellion,491,General Veers,Uncommon,true,0.64 €,0.86 €
Spark of Rebellion,492,TIE Advanced,Uncommon,false,2.10 €,6.25 €
Spark of Rebellion,493,AT-ST,Common,false,0.33 €,0.90 €
Spark of Rebellion,494,Maximum Firepower,Common,false,0.34 €,1.26 €
Spark of Rebellion,495,Galactic Ambition,Rare,false,4.35 €,14.10 €
Spark of Rebellion,496,Alliance X-Wing,Common,false,0.86 €,3.13 €
Spark of Rebellion,497,Rebel Pathfinder,Common,false,0.49 €,1.18 €
Spark of Rebellion,498,Fleet Lieutenant,Common,false,1.23 €,4.39 €
Spark of Rebellion,499,Wing Leader,Uncommon,false,7.68 €,20.17 €
Spark of Rebellion,500,General Dodonna,Uncommon,true,1.11 €,3.05 €
Spark of Rebellion,501,Regional Sympathizers,Common,false,0.26 €,0.64 €
Spark of Rebellion,502,Snowspeeder,Common,false,0.29 €,1.07 €
Spark of Rebellion,503,Medal Ceremony,Common,false,0.78 €,1.73 €
Spark of Rebellion,504,You're My Only Hope,Rare,false,4.32 €,19.89 €
Spark of Rebellion,505,Underworld Thug,Common,false,0.29 €,0.54 €
Spark of Rebellion,506,Volunteer Soldier,Common,false,0.21 €,0.46 €
Spark of Rebellion,507,Frontier AT-RT,Common,false,0.26 €,0.65 €
Spark of Rebellion,508,Corellian Freighter,Common,false,0.34 €,0.76 €
Spark of Rebellion,509,Confiscate,Common,false,0.33 €,0.82 €
Spark of Rebellion,510,Restock,Common,false,0.45 €,2.60 €
